[00:00:01] 香水対策調査担当者打ち合わせということ
[00:31:16] さんそれについてるような感じで、え、
[00:31:19] 少しでも早い時間帯に作業をやって、え、
[00:31:22] 作業をせるとそういうようなことを徹底
[00:31:25] するようになっています。
[00:31:28] あとですね、え、水温23っていう話をし
[00:31:33] てるんですけども、23°を下回ってから
[00:31:37] 作業をやった人、その人方から会場死んだ
[00:31:41] と、それはどういうことなのかという話が
[00:31:43] ありました。で、作業した後の2日目に、
[00:31:48] 2日分、3日分ぐらいの会だけ集中して
[00:31:51] 死んでて、それ以降の会は大し死んではい
[00:31:53] なかった。で、色々調べましたらやっぱり
[00:31:57] 水温下がったからと言ってすぐうに手を
[00:32:02] かけてしまうとやっぱり貝のダメージって
[00:32:05] いうのが残ってましてっ
[00:32:07] たからと言ってすぐやるのは良くないとで
[00:32:10] 青森の方の事例なんかも色々見てましたら
[00:32:15] よくあの貝の縁が回ってから作業を行う
[00:32:18] ようにっていう指示を出してるらしいです
[00:32:21] 。ま、それどういうことかっていうのを
[00:32:23] 実際青森の業者の方に問い合わせしまし
[00:32:26] たらやっぱり
[00:32:28] えっと少しでも新しい8%が回って出てき
[00:32:33] てるのが縁を回ってっていうことらしい
[00:32:36] です。ただ実際にはその口を回るまで回っ
[00:32:39] ていくと時間ばっかり来てしまいますから
[00:32:42] 、ま、その辺漁業者の方にもあの彼の状態
[00:32:46] を見ながらやってくれる。それで、え、
[00:32:49] ただ質の1週間やらは置いた方がいいん
[00:32:54] じゃないかなと。実際1週間けとか10日
[00:32:57] おけっていう具体的なことは言ってない。
[00:33:00] 期間は言ってないんですが、やっぱ作業は
[00:33:03] 水の下がったからと言ってすぐやらない
[00:33:05] こと少し様子を見てから作業するよう
[00:33:11] 伝えて少しでもその違いな兵集を少なくと
[00:33:15] いうようなところを注意して、え、これ
[00:33:18] 巡回仕です。
[00:33:20] ま、特に目新しい新しい技術っていうことでもないんですが、え、ま、やることをきっちりやろうというところで思考している以上になります。
[00:33:33] ありがとうございました。何か質問ありませんでしょうか?
[00:33:45] ありがとうございました。じゃあ続きましてお願いいたします。
[00:34:14] えっと、そしたらあの所の方から最後になりますけれども、えっと、よろしくお願いし
[00:34:19] します。えっとですね、あの私の方からは
[00:34:22] 、え、今日のあの担当者会議に向けてあの
[00:34:27] 文化の指導書の方からあの情報をえ
[00:34:31] いただきましてそれであの今からお話し
[00:34:34] するのはあの主要生産の中のあの作業工程
[00:34:38] の中でちょっと一区と言いますかあの
[00:34:42] ちょっと法程の見直しをかけてるえ事例に
[00:34:45] なりますのでそれをえっと
[00:34:48] 完潔に紹介したいと思います。えっと、
[00:34:51] まずですね、えっと、1番、えっと、上の
[00:34:55] 段落の部分になります。これが、えっと、
[00:34:58] 通常の工程ということで、えっと、通常の
[00:35:01] 工程は、え、7月10日前後から、えっと
[00:35:05] 、種取り、え、あっちで種取りと、えっと
[00:35:08] 、言ってるということです。なんです
[00:35:10] けれども、えっと、こちらでいうあの
[00:35:12] カリカリですを、え、行いまして、え、7
[00:35:17] 輪目のザブトン加または、えっと、
[00:35:21] 玉ねぎ袋に収容する。そして、えっと、
[00:35:25] えっと、7月下旬から8月中旬にかけて
[00:35:29] 仮分散を行いまして、で、えっと、ただし
[00:35:32] ですね、やはり近年は、えっと、8月中旬
[00:35:36] っていう風になると、あの、かなり水用も
[00:35:38] 上がってくるということで、え、上旬まで
[00:35:41] にオイルケースが多いらしいという話が
[00:35:44] 聞いております。その後、えっと、9月の
[00:35:48] 中旬から10月中旬にかけて本分産を行う
[00:35:52] というのが、えっと、ま、多数の方が、え
[00:35:56] 、取り入れている、ま、いわゆる通常って
[00:35:59] いう風に言ってしまうんですけれども、
[00:36:00] その工程になります。で、えっと、先ほど
[00:36:04] お話ししたように、えっと、ここの工程を
[00:36:07] ちょっと見直してはどうかという事例が、
[00:36:10] えっと、今一部の漁業者の方で取り組まれ
[00:36:13] ているということで、えっと、通称なん
[00:36:17] でしょうけれども、あの、1発取りという
[00:36:20] 、え、言い方をされているそうです。で、
[00:36:23] えっと、何かと言いますと、えっと、
[00:36:25] 簡単に言うと仮分散を行わない方法という
[00:36:29] ことで、えっと、先ほど、えっと、お話し
[00:36:33] した、えっと、カリカリですね、7月の、
[00:36:36] えっと、10日前後にあるカリカリを、え
[00:36:39] 、7月下旬まで、えっと、まず送らせると
[00:36:43] いうことで、その間に、えっと、成長を、
[00:36:46] え、促進させるということになります。と
[00:36:50] して、えっと、一部恋愛の丸かに、えっと
[00:36:54] 、密度を薄くして、えっと、終了すると
[00:36:57] いうことで、で、えっと、その後はですね
[00:37:00] 、えっと、9月中旬の本分散までは手を
[00:37:04] 加えないというやり方だそうです。ただし
[00:37:09] 、え、種取りからですね、えっと、本分
[00:37:12] までの手を加えない間に、え、付着生物
[00:37:16] ですね、あの、ま、例えばですけど
[00:37:18] キマトりのようなカですとか、やっぱり年
[00:37:21] によってはそういう時もあって、あの、
[00:37:23] なかなか万問ではないっていうか、あの、
[00:37:27] それでやってみたけどやめたという業者の
[00:37:30] 方もいるよというお話はされていました。
[00:37:34] そしてですね、えっと、この一発取りえに
[00:37:38] 向けた、えっと、今現在ちょっとあの進ん
[00:37:42] でいることということで3段落目に、え、
[00:37:45] 期待をしています。で、えっと、皆さんご
[00:37:50] 存知の方も、えっと、いらっしゃるかと
[00:37:52] 思うんですけれども、えっと、噴の場合
[00:37:55] 裁業器は、あの、フルアなんかを使った
[00:37:58] ですね、防編網というものが使われてい
[00:38:00] ます。で、えっと、その裁病器に付着した
[00:38:04] 違いをですね、やはりあの、一発取りの
[00:38:06] ためにはできるだけ早く大きく育てると
[00:38:10] いうことが重要ですよということで、えっ
[00:38:14] と、ま、カードももちろん都市によるん
[00:38:16] ですけれども、その棒雨に、えっと、
[00:38:19] かなりあの数は、え、つきます。えっと、
[00:38:22] 10万単位でついたりしますので、えっと
[00:38:25] 、裁機の中が加密になると成長が悪くなる
[00:38:29] ので、えっと、洗浄癌を使用して、えっと
[00:38:32] 、ま引きを、え、試していくということが
[00:38:36] そうです。で、これまでの結果でですね、
[00:38:40] えっと、洗浄癌で落ちるのは主に意外で、
[00:38:44] えっと、ホタもですね、5輪以上のホタに
[00:38:47] なると比較的落ちにくいっていうことが、
[00:38:50] え、ご垢というということだそうです。で
[00:38:53] 、現在指導書の方ではですね、この、えっ
[00:38:56] と、まびいて最病金に起こった違いの成長
[00:39:00] がですね、どの程度促進されるのかを、え
[00:39:03] 、調査している、え、段階だということで
[00:39:07] 、この辺の結果も、えっと、渡れるところ
[00:39:10] なのかなということで、え、情報提供を
[00:39:13] いい。えっと、以上になります。
[00:39:17] ありがとうございました。
[00:39:23] これか質問ありませんでしょうか?こちら
[00:39:32] 1
[00:39:32] 発取りって言ったら多分もういきなり最本分散みたいなイメージですけれども、ま、あのカリカり、あのカリカリがない、ま、一部最初に一部に入れて、え、本さっていう、そういうていうことですよね。
[00:39:48] はい。そうですね。他にとです。
[00:39:56] ま、やはりあの文化でもあと基本的な考え
[00:40:00] 方としてはやはりあのま、あの何度という
[00:40:05] 風にあの決めてるわけではないらしいん
[00:40:08] ですけれどもそこはあの予言者の方あの
[00:40:11] 個人の判断にはなってくるようなんです
[00:40:13] けれどもまやりこうになった時にはえ作業
[00:40:17] を控えるという部分とそれからあの収要数
[00:40:21] を薄めにするというのは基本的な考え方と
[00:40:25] して進めているということです。あとただ
[00:40:28] ですね、やっぱり、ま、薄耳って言って
[00:40:30] もちろんあの人それぞれでですね、あの
[00:40:34] 資材の関係があったりあのできる展開って
[00:40:37] いうのはあるのかなと思うので、その辺は
[00:40:40] あの個人のちょっとバランスの問題だっ
[00:40:42] たりするのかもしれないですけれども、
[00:40:44] 基本的な考え方としてはそのように、え、
[00:40:48] 実施しているということです。
[00:40:51] ありがとうございます。
[00:40:53] はい。
[00:40:55] これ書かれてる戦場癌っていうのはケルヒアみたいな高圧戦場です。
[00:40:58] そうそういうことですね。
[00:40:59] はい。
[00:41:01] それをやることによって即死の出現率の上昇とかそういうのはなかったんですか?そ、えっとそこまでのえっと情報は今のところちょっとあのなかったです。はい。
[00:41:22] ま、もちろんあの、洗浄使うっていうのも
[00:41:25] 結構そのやっぱり文化案の今ね、あの、お
[00:41:30] 話し合ったようにあの即死部の部分とか
[00:41:34] あのそういう問題っていうのはあの
[00:41:36] ひょっとしたらあのあるのかなっていう
[00:41:38] 部分とそれからやはりあの大編網っていう
[00:41:42] 細胞器を使ってるが故えにちょっとなせる
[00:41:45] 技かなっていう風では私の方ではちょっと
[00:41:48] こそに、え、感じてました。
[00:41:53] 他に何か質問はありませんでしょうか?
[00:41:57] と思ってありがとうございました
[00:42:11] 。
[00:42:43] はい。じゃあ私のから今年、えっと、先日
[00:42:48] 発出しまして、14日に発しました
[00:42:51] センターで、え、新しくちょっとお試しで
[00:42:55] 載せてみた
[00:42:59] 気温と水温に関するグラフを今年から
[00:43:03] ちょっと今後の作業の参考になればと思っ
[00:43:08] て、ちょっと作ってみたものについて簡単
[00:43:10] に説明させていただきます。
[00:43:17] まずさ、先ほどのこちらのグラフをまず
[00:43:22] 作った、ま、理由というか目的なんです
[00:43:26] けど、ま、先ほどからこの香水音2°
[00:43:30] っていうワードかなり出てると思うんです
[00:43:33] けど、この23年にいつ頃なるか、これが
[00:43:38] おそらく皆さん非常に
[00:43:40] 気にしてるところで、ここまでに作を
[00:43:43] 終わらせたいということは非常に強くある
[00:43:45] と思うんですが、
[00:43:48] なかなか現在の技術とかツールでは
[00:43:53] 水温上昇を予測するっていうのはなかなか
[00:43:56] 厳しいところがありまして、今あるもので
[00:44:00] なんとか分かるようなものがあればって
[00:44:02] いう思いでちょっと作ってみました。
[00:44:06] で、これを作りにあたって、まず昨年の
[00:44:09] 水温と気温の変化を見ていただきたいん
[00:44:12] ですけれども、え、こちらVO中国部のに
[00:44:17] あります水部Vの水温とあとこの期間7月
[00:44:23] から10月までの気温の水を示しており
[00:44:27] ます。で、水温はオレンジが1mの水温、
[00:44:34] 青線が4mの水温を示しております。で、
[00:44:39] 気温につきましては黒の点線で示してる
[00:44:44] 上側に示してるものが最高気温の水移で
[00:44:48] 下側に示してるものが最低気温の水移に
[00:44:51] なります。え、まずオレンジ1mの水の
[00:44:56] 水移を見てみますと、7月の8日頃から
[00:45:02] 初めて23°を超えまして、1時一瞬地で
[00:45:07] 末は下がるんですけれども、その後また
[00:45:09] 上昇していきまして、18日頃から、え、
[00:45:14] 8月の27日頃まで約1ヶ月間23°超え
[00:45:19] てる期間がありました。
[00:45:22] 4mにつきましては7月の25日頃から
[00:45:28] 23°を超え始め、同じく8月の27日
[00:45:32] まで23°超え。こちらも約1ヶ月間
[00:45:36] 23°以上の香水期間であったことが
[00:45:39] 分かります。
[00:45:41] で、気温につきましては7月中旬以降
[00:45:48] この15日から29日あたりで連日最高
[00:45:52] 気温が30°を超える期間、そして最低
[00:45:56] 気温を
[00:45:58] 20°を上回る日が連日しており、この
[00:46:04] 辺りで7月旬のあたりで水温が非常に
[00:46:07] 上がりやすかった期間だと言えます。
[00:46:11] そして8月下旬、8月の27日頃になり
[00:46:16] ますと、ようやく最高気温が23°割る
[00:46:21] ような日が出てきまして、徐々に水温が
[00:46:25] 下がっていったことが分かります。え、
[00:46:28] このように夏のこの水温の水移については
[00:46:33] 気温に大きく影響を受けて
[00:46:35] るっていうことが分かると思います。
[00:46:42] で、そこで、え、気象庁で
[00:46:48] 約12日後まで予想の最高気温と最低気温
[00:46:52] を出しているんですが、それをちょっと
[00:46:54] グラフに組み込みまして、今後の水温が
[00:46:58] どういう風に動いていきそうかっていうの
[00:47:00] をちょっと図で示してみました。
[00:47:03] で、オリンジ線は、ま、昨年の1m水の
[00:47:08] 水温で、青線が今年の現在の水温の水移を
[00:47:13] 示しています。え、今日現在の中央部の
[00:47:19] 1mの水温は19.4°でありますが、え
[00:47:23] 、今後
[00:47:25] 、え、
[00:47:27] 土曜日頃まで明日明後日ぐらいまでは
[00:47:30] 高気温丸が最高気温なんですけれども、
[00:47:34] 高気温の日が高く
[00:47:37] 2日ぐらいは続く見込みでおそらく水温は
[00:47:40] 上昇するものと見られます。え、その後
[00:47:44] 来週にかけては、え、最高温が25°台で
[00:47:48] 推移することから
[00:47:51] 、おこの間を水温は推移していくのでは
[00:47:54] ないかと、え、見られます。このように、
[00:47:59] え、現在の水温の状況と予想予想気温の水
[00:48:03] をセンターレ程度で流していきたいと思い
[00:48:07] ますので、え、作業の参考になればとなれ
[00:48:11] ば幸いです。
[00:48:12] 以上です。ありがとうございました。か質問ありませんでしょうか?いいですか?
[00:48:21] はい。
[00:48:23] これね、表層中層定
[00:48:29] それでこれが何日かに全部同じ
[00:48:36] はい。
[00:48:36] 水になるん。
[00:48:37] はい。
[00:48:38] でもその前は上から順番にね、赤いでしょ。
[00:48:42] はい。
[00:48:43] うん。
[00:48:44] これがあの一緒になるかってデータは何?
[00:48:50] えっと基本的には上と下の混ざる要因が基本的は風
[00:48:57] うん。風で直的に混ざって
[00:49:01] 1mと4m
[00:49:02] が一緒にやるんですけども、いつ風が吹くかって言われたら
[00:49:07] これ混ざってない時はまだ下に下げればいいな
[00:49:12] ね。
[00:49:13] これま、さっきも言った方法の水も関係あるけどさ
[00:49:17] はい。曲がっちゃったらもうどうすると
[00:49:20] もう
[00:49:21] 23°そうですね。あ、去年は結構遅めにだったんじゃないかなて思ね。うん。
[00:49:35] でももっと前はなんか死刑の関係結構早めに曲がっちゃって
[00:49:42] でもそこは注意注意しというか見てる
[00:49:44] [咳払い]
[00:49:47] そうですね基本的に夏の高期高気温水温期間はもう大用気圧が確してしまって騙せばもう吹かないような状況になってるの
[00:50:03] で、と言っても強いになるかで
[00:50:07] こうんでかつ上下曲がって上の下もま、
[00:50:14] あったかくまずしまっていう状況なので
[00:50:19] 作業にあたっては、ま、可能な限り早く
[00:50:24] [咳払い]済ませてしまうのがかなとは
[00:50:28] 思います。
[00:50:37] 他何かあ、質問ないんでしょうか?え、ということで、え、今日はあの、え、指導の方に、え、ま、宿区の作業の、ま、例を、え、紹介してただきました。
[00:50:58] で、え、あとはあの要食組合の方でも、
[00:51:01] えっと、水温が、あ、どれぐらい、どう
[00:51:04] いう水温をたどりそうかというような予測
[00:51:07] に役立つような形での、え、センターを、
[00:51:11] え、提供していきたいという風に思って
[00:51:13] おりますので、え、これを参考に
[00:51:16] 市街の、え、育成を、あの、進めて
[00:51:20] いただきたいということで、え、考えて
[00:51:22] おりますので、え、よろしくお願いいたし
[00:51:25] ます。
[00:51:25] ということで、え、今日は、あれで終わりたいと思います。ありがとうございました。
